channels,requested_kbps,header_mpeg_version,header_kbps,input_sample_rate,output_sample_rate
1,32,2,32,44100,22050
1,40,2,40,44100,24000
1,48,1,48,44100,32000
1,56,1,56,44100,32000
1,64,1,64,44100,44100
1,80,1,80,44100,44100
1,96,1,96,44100,44100
1,112,1,112,44100,44100
1,128,1,128,44100,44100
1,160,1,160,44100,44100
1,192,1,192,44100,44100
1,224,1,224,44100,44100
1,256,1,256,44100,44100
1,320,1,320,44100,44100
2,32,2,32,44100,16000
2,40,2,40,44100,16000
2,48,2,48,44100,22050
2,56,2,56,44100,24000
2,64,2,64,44100,24000
2,80,1,80,44100,32000
2,96,1,96,44100,32000
2,112,1,112,44100,44100
2,128,1,128,44100,44100
2,160,1,160,44100,44100
2,192,1,192,44100,44100
2,224,1,224,44100,44100
2,256,1,256,44100,44100
2,320,1,320,44100,44100
