rank,result,url,input_formats,output_formats,quality_or_precision,login,batch_or_merge,limits
1,clideo.com/cut-audio,https://clideo.com/cut-audio,"Body text: MP3, OGG, WMA, WAV and others. FAQ: a video file can be uploaded to extract its audio. Files from any device or cloud storage.",Says the track can be converted to any format you need; FAQ says you pick the output format before export. No format names listed.,"Fade in, fade out and crossfade. Select by dragging markers or typing seconds. Says songs keep their high quality after cutting. No bitrate stated.",Not stated,Not stated,"Not stated in the page body. A hidden upgrade dialog lists a free plan with watermarked export and 500 MB uploads, without saying it applies to this tool."
2,mp3cut.net,https://mp3cut.net/,Says over 300 formats are supported. Extracts audio from video. Upload from hard drive or cloud storage.,"iPhone ringtone saved as m4r, 40 seconds long. Other outputs only described as 'available output formats', not listed.","Fade in and fade out. Ringtone quality presets. Arrow keys adjust the interval. Pitch, volume and speed changes. No bitrate stated.",Not stated,Not stated,Free tier not stated. A hidden Premium dialog lists opening files up to 10 GB and unlimited files.
3,vocalremover.org/cutter,https://vocalremover.org/cutter,Any audio file. Says it runs in the browser and files do not leave the device.,Says audio can be saved in any format with configurable codec parameters. No format names listed.,Fade in and fade out. Configurable codec parameters. No specific bitrate or precision stated.,Not stated,Not stated,Not stated
4,audiocut.io,https://audiocut.io/,"MP3, WAV, AAC, FLAC, OGG, M4A. Says DSF is not supported.","MP3, WAV, AAC, FLAC, OGG, M4A, M4R.","Says quality is preserved without loss. No bitrate, millisecond precision or fades stated.",Says there is no account wall; sign-in is required before buying.,Not stated on this page; merging is a separate tool.,"FAQ says free users can upload files of any size. A pricing dialog places online tools in the paid Pro plan, which contradicts the '100% free' claim."
5,"Google Play: MP3 Cutter and Ringtone Maker (InShot, Android app)",https://play.google.com/store/apps/details?id=ringtone.maker.mp3.cutter.audio,"mp3, wav, ogg, m4a, aac (written 'acc'), flac and others, picked from the phone or SD card.","Converts formats such as mp3 and aac; changelog adds M4A export. Can be set as ringtone, alarm or notification.","Millisecond-level cutting. Fade in and fade out. Bitrate options such as 64, 128, 192 and 256 kb/s. Waveform zoom.",Not stated,Says it can merge several audio files and change their order.,Not stated. Listing says it contains ads and in-app purchases.
6,cleanvoice.ai/audio-trimmer,https://cleanvoice.ai/audio-trimmer/,"MP3, WAV, OGG, FLAC by drag and drop. FAQ says files are processed locally in the browser.","wav, mp3.","Says the trim is lossless if exported in the original format and bitrate. No bitrate numbers, millisecond precision or fades stated.",Says no sign-up is needed.,Not stated,Upload box says max 500MB; FAQ says up to 250 MB. The two statements contradict each other.
7,audio.pi7.org/audio-cutter,https://audio.pi7.org/audio-cutter,"MP3, WAV, FLAC, AAC, OGG, M4A, OPUS; video MP4, MKV, WebM, MOV, AVI.",Same format and bitrate as the input. M4R needs a separate tool on the site.,"Keeps the original bitrate (example: 320 kbps in, 320 kbps out). Start and end to the millisecond. Custom fade-in and fade-out seconds.",Says no account is needed.,Several regions can be marked on one file and exported separately. Multiple files and merging not stated.,"Says there is no server-side size limit and the practical limit is device memory; says files up to 200 MB were tested. A footer line says audio is removed from the server after 30 minutes, which contradicts 'never uploaded'."
8,veed.io/tools/audio-cutter,https://www.veed.io/tools/audio-cutter,"Audio: AAC, FLAC, M4A, MP3, OGA, OGG, OPUS, WAV, WAVE. Video files can also be uploaded.","MP3, WAV or other popular formats.",Not stated,Not stated,"Says clips can be split, rearranged and combined with background music into a new track; steps say 'Upload your audio files'.",Not stated
9,ezgif.com/cut-audio,https://ezgif.com/cut-audio,"Body text: MP3, WAV, FLAC, M4A, OGG and many other audio formats; upload or paste a URL. The upload box text lists video formats instead.","Copies the original audio stream by default; can optionally encode to MP3, M4A or WAV.",Start and end times to the millisecond. No re-encoding by default. No bitrate stated.,Says no registration.,Not stated,Max file size 200MB. Uploaded files deleted 1 hour after upload.
10,"briskaudio.com/cut.html (rank 11, replaces rank 10)",https://briskaudio.com/cut.html,Upload an audio file or record a new one. Formats not listed.,Not stated,Not stated,Not stated,Not stated,Not stated
